fen,phase,move_number,turn,material_diff,your_moves,time_taken,eval_before_cp,eval_after_cp,mate_before_dist,mate_after_dist,best_stockfish,eval_deviations
2r1kb1r/3np1p1/pp3p1p/2p5/1n4b1/1N1P1NB1/PPP1BPPP/3R1RK1 w k - 2 16,middlegame,31,white,0,"c2c3,c2c3,h2h3",42.75,184.0,"90,86,180",,"None,None,None",a2a3,"94,98,4"
r1bq1rk1/pppn1pbp/4pnp1/8/2BPP3/2N1B3/PP2NPPP/R2Q1RK1 w - - 2 9,middlegame,17,white,0,"e4e5,d1d2,f2f4",13.77,140.0,"89,121,60",,"None,None,None",h2h3,"51,19,80"
rnr2q2/3nkp1p/p1bp4/1p2p1P1/4P1P1/2N1Q3/PPPN1PB1/1K1R3R w - - 1 22,middlegame,43,white,1,"h1h7,c3d5,f2f4",17.07,534.0,"556,535,490",,"None,None,None",c3d5,"22,1,44"
r2qk1nr/1b3ppp/2nbp3/p2pN3/1ppP1P2/2P1PQ2/PPBN2PP/R1B2RK1 b kq - 3 11,middlegame,22,black,0,"f7f6,d6e5,g8f6",18.49,121.0,"355,267,111",,"None,None,None",a5a4,"234,146,10"
r2q1rk1/pbNp1pbp/1pnPpnp1/2p5/2P1P3/3B1N2/PP3PPP/R1BQK2R w KQ - 5 11,middlegame,21,white,0,"e4e5,c1g5,c7a8",17.6,-40.0,"-185,-38,-86",,"None,None,None",c1g5,"145,2,46"
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq - 2 5,opening,9,white,0,"d2d4,f1e2,a2a3",22.6,13.0,"14,-2,11",,"None,None,None",d2d4,"1,15,2"
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,opening,7,white,0,"c2c3,c2c3,c2c3",5.06,27.0,"21,24,23",,"None,None,None",c2c3,"6,3,4"
4Rbnr/B4ppp/2Q5/kp6/8/8/PP3PPP/R5K1 b - - 0 25,middlegame,50,black,12,"g8f6,g8e7,h7h5",19.52,9997.0,"9998,9997,9998",3.0,"2,3,2",g8f6,"1,0,1"
r1bqkbnr/pp1ppppp/2n5/8/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 2 4,opening,8,black,0,"g8f6,g7g6,e7e6",7.67,-29.0,"-30,9,-17",,"None,None,None",g8f6,"1,38,12"
1r1q1rk1/p4pp1/Bb1pb2p/5n2/3P4/P3BN1P/1P3PP1/R2Q1RK1 b - - 2 17,middlegame,34,black,1,"f5e3,e6d5,d8f6",25.75,13.0,"44,16,19",,"None,None,None",e6d5,"31,3,6"
6k1/R6p/1p4p1/8/8/1P6/P1P4r/3K4 w - - 0 28,endgame,55,white,0,"a2a4,a7b7,a7b7",8.41,-27.0,"-18,-15,0",,"None,None,None",a2a4,"9,12,27"
rnb1k1nr/pppp2bp/4pq2/5p2/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq - 2 7,middlegame,13,white,0,"c1g5,c1g5,d1e2",20.57,166.0,"164,168,110",,"None,None,None",c1g5,"2,2,56"
r7/4Npkp/p1p3p1/3b4/8/6P1/PR3P1P/6K1 w - - 2 27,endgame,53,white,-1,"e7d5,e7d5,e7d5",11.72,-4.0,"-20,-16,-5",,"None,None,None",e7d5,"16,12,1"
r1bqkbnr/pp2pppp/2np4/2p5/3PP3/5N1P/PPP2PP1/RNBQKB1R b KQkq - 0 4,opening,8,black,0,"c5d4,g8f6,g7g6",18.53,5.0,"6,126,113",,"None,None,None",c5d4,"1,121,108"
r1bqkb1r/ppp1p1pp/2n2n2/8/Q7/N1Pp1N2/PP1P1PPP/R1B1KB1R b KQkq - 1 7,middlegame,14,black,0,"c8d7,a7a6,e7e6",36.27,-306.0,"12,-104,0",,"None,None,None",e7e5,"318,202,306"
r4rk1/ppp2ppp/2n2n2/4p1q1/3p4/1PB1P1PB/P2PKPQP/RN5R w - - 0 12,middlegame,23,white,2,"c3b2,f2f4,e3d4",21.69,140.0,"147,-86,-231",,"None,None,None",c3b2,"7,226,371"
2k2rr1/p6p/1p1p1Bp1/n1p1ppP1/P1P5/2P2P1P/4BP2/1R3RK1 w - - 0 23,middlegame,45,white,2,"f6e7,f1d1,f3f4",25.65,424.0,"275,411,310",,"None,None,None",f1d1,"149,13,114"
rn1qk2r/pp3pp1/3bpnp1/2pp4/3P4/3BP3/PPPNQPPP/R1B1K2R w KQkq - 0 9,middlegame,17,white,0,"h2h3,d2f3,c2c4",26.98,-18.0,"-228,-280,-51",,"None,None,None",d4c5,"210,262,33"
r1bqk1nr/ppp2ppp/2np4/2b1p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 b kq - 0 7,middlegame,14,black,-1,"e5d4,c5b6,e5d4",19.74,-30.0,"25,-25,26",,"None,None,None",c5b6,"55,5,56"
r1b4k/3qb2p/p1n1R2Q/1p3r2/3P4/1B6/PPP2PPP/R5K1 w - - 0 22,middlegame,43,white,-2,"e6c6,a1e1,e6c6",29.38,9997.0,"-361,-416,-382",3.0,"None,None,None",e6g6,"10361,10416,10382"
8/3k4/3p4/pp4p1/1p5b/4r3/K7/R7 b - - 3 47,endgame,94,black,-8,"a5a4,e3a3,h4g3",24.04,-1017.0,"-1071,-9984,-852",,"None,-16,None",e3a3,"54,11017,165"
3r1rk1/pp3pp1/2n1B2p/2pp4/4p2q/1PP5/P1P1QPPN/2KR3R b - - 0 17,middlegame,34,black,1,"f7e6,h4g5,h4f4",16.16,-326.0,"-306,-326,-293",,"None,None,None",f7e6,"20,0,33"
r1bqk1nr/pp1pppbp/2n3p1/2p5/4PP2/2NP4/PPP3PP/R1BQKBNR w KQkq - 1 5,opening,9,white,0,"g1f3,c1e3,e4e5",20.95,-29.0,"-34,-42,-152",,"None,None,None",g2g3,"5,13,123"
2kr2nr/pp3ppp/2p1p3/8/3qP3/1QN1K3/PP3PPP/7R w - - 0 18,middlegame,35,white,-6,"e3f3,e3e2,e3f3",12.71,-723.0,"-9989,-738,-9989",,"-11,None,-11",e3e2,"10723,15,10723"
6k1/1p3Np1/4B2p/p7/6n1/4P1PN/P2P1n1P/6Kb b - - 2 30,endgame,60,black,1,"f2h3,f2h3,f2h3",28.82,398.0,"439,413,439",,"None,None,None",f2h3,"41,15,41"
r2qkb1r/ppp2ppp/2B1b3/3p4/4n3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 8,middlegame,16,black,2,"b7c6,b7c6,b7c6",5.54,-219.0,"-201,-196,-205",,"None,None,None",b7c6,"18,23,14"
r3r3/2qk3p/Rp1p3b/1PpP1bp1/Q1Pp1p2/3P1B1P/3B1PP1/5RK1 b - - 5 28,middlegame,56,black,0,"a8a6,a8b8,a8a6",14.33,211.0,"720,203,747",,"None,None,None",a8b8,"509,8,536"
rn1qkbnr/ppp2ppp/4p3/5b2/2pP1B2/4P3/PP3PPP/RN1QKBNR w KQkq - 0 5,opening,9,white,-1,"b1c3,f1c4,d1a4",9.78,41.0,"28,31,-27",,"None,None,None",f1c4,"13,10,68"
r3kbnr/pp1bpppp/2np4/qB6/3PP3/2N2N2/PP3PPP/R1BQK2R b KQkq - 2 7,middlegame,14,black,0,"g7g6,g8f6,a7a6",18.92,127.0,"128,131,159",,"None,None,None",g8f6,"1,4,32"
6k1/4Q3/5ppq/pp1p1b2/3P4/P1P5/6RK/8 w - - 0 38,endgame,75,white,0,"h2g1,h2g1,h2g1",10.97,0.0,"0,0,0",,"None,None,None",h2g1,"0,0,0"
r4rk1/5pp1/p3p2p/1p1R1b2/7q/1P6/PP3PPP/4QRK1 w - - 0 20,middlegame,39,white,-3,"g2g3,d5d6,d5c5",20.99,-538.0,"-565,-529,-574",,"None,None,None",d5d7,"27,9,36"
r1b1k2r/5pp1/p2p1n1p/qppPp1b1/P3P3/1P3N1Q/2PNBPPP/R3K2R w KQkq - 4 16,middlegame,31,white,0,"f3g5,h3g3,f3g5",24.0,-471.0,"-520,-583,-555",,"None,None,None",h3c8,"49,112,84"
r1bq1rk1/pp4b1/3p1pQp/2pPn1p1/2B4P/5NP1/PPP3P1/RN2R1K1 w - - 4 16,middlegame,31,white,0,"f3e5,b1c3,f3e5",15.36,206.0,"210,-588,224",,"None,None,None",f3e5,"4,794,18"
3r1rk1/pp3ppp/2n5/3b2q1/2B5/P3P3/1PQ2PPP/R3K2R b KQ - 1 16,middlegame,32,black,-2,"d5c4,g5g2,d5c4",19.9,-711.0,"-717,-590,-725",,"None,None,None",d5c4,"6,121,14"
rnb1kbnr/ppp1ppp1/2q4p/4P3/8/2NP1N2/PP3PPP/R1BQKB1R w KQkq - 1 7,middlegame,13,white,0,"d3d4,f1e2,c1e3",31.03,258.0,"261,161,198",,"None,None,None",d3d4,"3,97,60"
rnbqk2r/3pnpbp/p3p1p1/1p6/3PP3/1BN2N2/PP3PPP/R1BQ1RK1 b kq - 1 9,middlegame,18,black,0,"d7d5,c8b7,e8g8",9.86,70.0,"259,215,100",,"None,None,None",b8c6,"189,145,30"
r1bqkbnr/pppp1ppp/6n1/3Pp3/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 3 5,opening,9,white,0,"g2g3,f1d3,c1e3",4.76,98.0,"55,57,82",,"None,None,None",c1e3,"43,41,16"
1r3rk1/2p2pp1/p1bp1q1p/7N/1p2P3/2P1QPP1/P1P4P/3RK2R b K - 1 20,middlegame,40,black,0,"f6c3,f6c3,f6c3",10.99,-267.0,"-276,-282,-277",,"None,None,None",f6c3,"9,15,10"
r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6,middlegame,12,black,0,"g8f6,f8g7,g8f6",16.55,74.0,"57,69,58",,"None,None,None",g8f6,"17,5,16"
