fen,phase,move_number,turn,material_diff
rnbqkbnr/1p3ppp/2p1p3/2Pp4/1p1P4/P7/4PPPP/RNBQKBNR w KQkq - 0 6,middlegame,11,white,-1
6r1/4k3/p4p1p/1pn1pPp1/6P1/2N1b2P/PPP5/1K2R3 b - - 3 28,endgame,56,black,-3
6r1/3nkp1p/pb6/1p2pPp1/8/8/PPP1N1PP/2KNR3 w - - 2 24,endgame,47,white,0
3bk2r/5ppp/pp2pn2/1N6/5P2/8/PPP3PP/2K3NR w k - 0 17,endgame,33,white,0
r4rk1/pp4pp/5p2/3P2q1/4Q3/4N2n/PP3PPK/3R1R2 b - - 1 25,middlegame,50,black,0
r4rk1/pp3ppp/3q2b1/3p3n/3n4/2PB1N1P/PP3PP1/R2Q1RK1 w - - 0 16,middlegame,31,white,-3
r4rk1/pp3ppp/3q4/4N3/3PpnQ1/7P/PP3PP1/R4RK1 b - - 3 19,middlegame,38,black,0
5rk1/p1p3p1/2n1pr1p/4p1q1/2PpP2N/1PbP3P/P2N1PP1/2RQR1K1 w - - 7 22,middlegame,43,white,1
1r4k1/p1pqb1p1/2n1pr1p/4p3/3pP3/2PP1N1P/PPQN1PP1/R4RK1 w - - 0 16,middlegame,31,white,1
1r4k1/p1p3p1/2n1prqp/4p3/2PpP3/1PbP1N1P/P2N1PP1/2RQR1K1 b - - 4 20,middlegame,40,black,1
rnb2rk1/pp4pp/1q2p1p1/2bpP1B1/8/P1N2N2/1PP2PPP/R2Q1RK1 b - - 0 12,middlegame,24,black,0
rnbqkb1r/ppp1nppp/4p3/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 4,opening,8,black,0
rnbqkb1r/ppp1nppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,opening,7,white,0
rnbqkbnr/pp1ppppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,opening,6,black,-1
r2q2k1/3bprbp/p1np1np1/1p4N1/1P2PB2/PQN5/5PPP/2R2RK1 b - - 1 14,middlegame,28,black,-3
rnbqkbnr/pp1ppppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,7,white,-2
rn1k2nr/3pbp1p/pp6/8/2P2B2/5b2/PP5P/RN2K2R w KQ - 0 16,middlegame,31,white,-7
rn1k2nr/3pbp1p/pp6/8/2P1BB2/8/PP4bP/RN2K1NR b KQ - 1 14,middlegame,28,black,-1
rn1k2nr/3p1p1p/b7/pP6/5B1P/8/P3K3/2R5 b - - 0 24,middlegame,48,black,-12
4q3/p4kB1/1p4p1/3P1np1/2P1n3/P5P1/1Q3P1P/6K1 b - - 1 31,endgame,62,black,-1
rn1qk2r/pb1pnpbp/1pp3p1/3P4/2P5/2NB1N2/PP3PPP/R1BQK2R w KQkq - 0 9,middlegame,17,white,0
rn1qkbnr/pbpppp1p/1p4p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,opening,7,white,0
r1b3rk/pp2q1b1/4p1Rp/2npPp1B/3Q1P2/2N4P/PPP2N1K/R7 w - - 1 23,middlegame,45,white,0
rnb2rk1/pp2q1b1/2ppp2p/4Pp2/2BP1P2/2N4p/PPPQ1NP1/R4RK1 w - - 0 16,middlegame,31,white,-1
4N3/p2b4/1p2p1k1/3pP2p/4p1BK/2P2r1P/PP6/8 w - - 0 37,endgame,73,white,-3
r1bqkb1r/pp2nppp/2n1p3/3pP3/3p1PP1/2P5/PP5P/RNBQKBNR w KQkq - 0 7,middlegame,13,white,-1
2r1k2r/pp1b2pp/1q2p1p1/n2pP3/3P1PP1/P1P1BN2/7P/1R1QK2R b Kk - 2 15,middlegame,30,black,0
2r5/6pk/pq2p1pp/1p1pP3/b1nP1rPN/2PQ4/5B1P/R1R3K1 b - - 3 26,middlegame,52,black,-2
r1b1k1nr/pppp1pp1/2n2q1p/2b2N2/2B1P3/8/PPP2PPP/RNBQK2R w KQkq - 3 7,middlegame,13,white,0
r1b2rk1/ppp2p2/2np3p/2bB4/3qPB2/8/P1PQKPPP/7R w - - 2 15,middlegame,29,white,-8
r1bqk1nr/pppp1pp1/2n4p/2b2N2/2B1P3/8/PPP2PPP/RNBQK2R b KQkq - 2 6,middlegame,12,black,0
rk5r/ppp2R2/5Q1p/2qPpB2/8/4P3/PPP3P1/3R2K1 w - - 7 28,middlegame,55,white,4
rn1q1rk1/ppp2ppp/5n2/2b1p3/4P1b1/2NBBN2/PPP2PPP/R2Q1RK1 b - - 7 8,middlegame,16,black,0
r4k1r/ppp1q3/5pQp/3Pp3/8/3BP3/PPP2RP1/3R2K1 b - - 2 23,middlegame,46,black,3
r2qk2r/pp2bpp1/1np1pn1p/8/3P2bB/2NBPN2/PPQ2PPP/2KR3R b kq - 5 11,middlegame,22,black,0
r5k1/1p3Qp1/2p1p2p/p2n4/2nPN1PP/P3Pr2/1P3P2/2KR3R b - - 0 21,middlegame,42,black,7
r5k1/1p2q1p1/1np1p1Qp/p2n4/3PN1P1/P3Pr1P/1P3P2/2KR3R w - - 0 19,middlegame,37,white,-2
r3k2r/pb2qppp/p2b4/8/8/2N1PN1P/PPP3P1/R2QK2R b KQkq - 0 12,middlegame,24,black,1
r2qkbnr/pb3ppp/p2p4/8/4P3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,middlegame,13,white,1
r3k2r/pb3ppp/p7/8/8/4qNbP/PPP1N1P1/R2QK2R w KQkq - 2 14,middlegame,27,white,0
8/6pp/p2qQpk1/1pN5/3P1P2/4P3/P5PP/6K1 b - - 0 34,endgame,68,black,4
2r2rk1/1pqnbppp/p3p3/8/Q1RPNP2/1P2P3/P2B2PP/R5K1 b - - 0 21,middlegame,42,black,1
1qr3k1/1p2bppp/p3p3/8/1PnPNP2/4P3/P2B2PP/R2Q2K1 w - - 3 25,middlegame,49,white,1
rnbk1b1r/pp3ppp/5n2/2p1p3/4P3/2N1B3/PPP2PPP/R3KBNR w KQ - 2 7,middlegame,13,white,0
r1b1kb1r/1p3ppp/p4n2/1Np1n3/4P3/4B3/PPP3PP/2KR1BNR w - - 0 11,middlegame,21,white,0
rnbQkbnr/pp2pppp/8/2p5/4P3/8/PPP2PPP/RNB1KBNR b KQkq - 0 4,opening,8,black,9
r4rk1/1p4p1/p1nNbn1p/3p2q1/4p3/2P1N3/PP2BPPK/R2Q1R2 w - - 2 23,middlegame,45,white,-1
rnbq1rk1/pp1nbppp/4p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQ - 1 8,middlegame,15,white,0
r1b2rk1/1p4p1/p1n2n1p/3p4/2N1pq2/2P4P/PPN1BPP1/R2Q1RK1 w - - 2 20,middlegame,39,white,0
r2qkb1r/pp2pppp/7n/2ppP3/3n2b1/5PP1/PPP1Q2P/RNB1KBNR w KQkq - 0 7,middlegame,13,white,-1
r1bqkb1r/pp2pppp/2n4n/2ppP3/8/6P1/PPPPQP1P/RNB1KBNR w KQkq - 3 5,opening,9,white,0
r2qkb1r/pp2pppp/7n/2ppPb2/3n4/4QPP1/PPP4P/RNB1KBNR b KQkq - 3 8,middlegame,16,black,-1
rn1qkbnr/3ppppp/2p5/3PPP2/1P6/8/1P4PP/RNBQKbNR b KQkq - 0 10,middlegame,20,black,-2
1n1qkbnr/4pppp/b1p5/2r1PP2/1P5N/8/1P3KPP/7R b k - 1 16,middlegame,32,black,-22
rn1qkbnr/2pppppp/b7/1p1P4/4PP2/8/PP4PP/RNBQKBNR w KQkq - 1 7,middlegame,13,white,0
4nrk1/ppp1b1pp/1nqp4/4P3/5P2/BPN2Q1P/P1P3P1/R4RK1 b - - 4 17,middlegame,34,black,3
r2qk2r/ppp1b1pp/2nppn2/8/3NP3/2N4P/PPP2PP1/R1BQK2R b KQkq - 0 9,middlegame,18,black,0
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,opening,6,black,0
6r1/1p1q1p1k/p1p1b3/3p1prp/3P1Q2/P2B2PP/1PP2P1K/R5R1 b - - 0 22,middlegame,44,black,0
1q6/5prk/8/1PQ1Rp1p/3p2rP/1P4P1/2P2P1K/4R3 b - - 0 49,endgame,98,black,2
6r1/pp1q1p1k/2p1b3/3p1prp/3P1Q2/3B2PP/PPP2P1K/R5R1 b - - 1 21,middlegame,42,black,0
8/p7/6p1/1rrR2Pp/4pk1P/7K/5P2/8 b - - 0 41,endgame,82,black,-6
6k1/p1r4p/6p1/1P1p1p2/R3p3/1r2P2P/5PPK/8 w - - 1 33,endgame,65,white,-6
2r3k1/p6p/6p1/3p1p2/RP2p3/2r1P2P/5PPK/8 b - - 0 31,endgame,62,black,-6
3r3r/p1R1nkpp/4b3/2p1P3/4PB2/2N2N2/PPP3PP/4K2R b K - 2 16,middlegame,32,black,6
r1bk2nr/ppp2ppp/2n5/4P3/1b2pB2/2N5/PPP2PPP/R3KBNR w KQ - 4 7,middlegame,13,white,0
2r4r/R3nk2/4b2p/2p1P1N1/4PB2/2N5/PPP3PP/5RK1 b - - 0 19,middlegame,38,black,8
r2qkb1r/5pp1/2np1nbp/p3p3/Pp2P1P1/1B1P3P/1P1N1P2/R1BQK1NR w KQkq - 3 15,middlegame,29,white,0
rnbqkbnr/5pp1/2pp3p/p3p3/Pp2P3/1B1P1N2/1PP1NPPP/R1BQK2R b KQkq - 1 8,middlegame,16,black,0
3r4/4bppk/8/p7/Pp2NBR1/4KP2/1P6/7R b - - 4 37,endgame,74,black,7
5r2/p5R1/2p5/3p1kp1/2pB3p/NPP4P/P7/6K1 b - - 0 35,endgame,70,black,4
r6r/p3kpp1/2p5/3p2P1/2p2BQp/N1Pq3P/PP6/4R1K1 b - - 1 25,middlegame,50,black,-1
7r/p4Rp1/2p1k1p1/3p2B1/2p4p/NPP1r2P/P7/6K1 w - - 5 32,endgame,63,white,-2
r1b2nk1/pp3rp1/2p1pqNp/8/3P4/2PB4/P1Q2PPP/R4RK1 w - - 7 23,middlegame,45,white,0
r4nk1/pp1br1p1/2p1pq1p/8/3P2N1/2PB4/P1Q2PPP/4RRK1 b - - 12 25,middlegame,50,black,0
r1bq1rk1/pp1nbpp1/2p1pn1p/8/2BP4/2N1PNB1/PP3PPP/R2QK2R b KQ - 0 10,middlegame,20,black,0
3r2k1/2p2p1p/1qp1b1p1/p4p2/8/P1N1P3/R1QP1P1P/4K1NR w K - 1 21,middlegame,41,white,6
3r2k1/2p2p1p/2p1b1p1/p1q2p2/8/P1N5/R1QPPP1P/4K1NR w K - 2 20,middlegame,39,white,6
2b2rk1/2p2p1p/2pq2p1/pp3p2/2P5/PP6/RQ1PPP1P/1N2K1NR w K - 1 16,middlegame,31,white,7
rnb2rk1/ppppqpp1/4p1n1/7p/3PP2P/2N2N2/PPP2PP1/R2QKB1R w KQ - 0 8,middlegame,15,white,0
rnb2rk1/pppp1pp1/4n2q/4P1Np/7P/2N5/PPPQ1PP1/2KR1B1R b - - 4 14,middlegame,28,black,0
rn3rk1/pbp5/1p2qpp1/3pP1P1/4NPp1/3B4/PPPQ3R/2K4R w - - 0 23,middlegame,45,white,-1
4rr2/1p5p/p7/3N1k2/1PP2p2/3Pb2b/P1K4P/R4B2 b - - 1 27,middlegame,54,black,-4
4r1r1/1p5p/p7/3Nk3/1PP2p2/3P4/P1K4P/5R2 b - - 2 30,endgame,60,black,-1
1r3r2/1p3pkp/p7/3N4/2P1Pp2/3Pb2b/PP2B2P/R2K4 b - - 0 23,middlegame,46,black,-4
3r2k1/1pqr1ppp/pnp1p3/4P3/2P5/PP3R2/5QPP/2B2RK1 w - - 3 32,middlegame,63,white,-1
rn3rk1/pp3ppp/2p1pn2/q7/1bN2P2/1PNP4/P1PBQ1PP/R3K2R b KQ - 6 14,middlegame,28,black,0
3r1rk1/ppq2ppp/2p1p3/3nP3/8/1P3R2/PBP2QPP/5RK1 b - - 2 28,middlegame,56,black,-1
rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2NB1P2/PP4PP/R1BQK1NR b KQ - 0 9,middlegame,18,black,0
rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2NB1P2/PP2N1PP/R1BQK2R b KQ - 2 10,middlegame,20,black,0
q3r1k1/3b1pbp/3p2p1/1ppP3n/4P3/2N2P2/1P2N1PP/2BQ1RK1 w - - 0 17,middlegame,33,white,0
r1bqk2r/2p2ppp/p1p5/2bpp3/4P3/5N2/PPP2PPP/RNBQR1K1 w kq - 1 9,middlegame,17,white,2
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQR1K1 b kq - 1 5,middlegame,10,black,-1
r1b1k2r/2p1bppp/p1p2q2/3PR1B1/8/5N2/PPP2PPP/RN1Q2K1 b kq - 2 11,middlegame,22,black,4
rnbqkbnr/pp4pp/3p1p2/2p1p3/8/1P1P4/PBPNPPPP/R2QKBNR w KQkq - 0 5,opening,9,white,0
rn1qk1nr/pp1bb1pp/3p1p2/2p1p3/2P5/1P1P1P2/PB1NP1PP/R2QKBNR w KQkq - 1 7,middlegame,13,white,0
rn1qkbnr/pp1b2pp/3p1p2/2p1p3/2P5/1P1P4/PB1NPPPP/R2QKBNR w KQkq - 1 6,middlegame,11,white,0
r1bq1rk1/1pN1bppp/p1n1pn2/2Pp4/3P1B2/P7/1P2PPPP/R2QKBNR b KQ - 0 8,middlegame,16,black,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,7,white,0
rnbq1rk1/ppp1bppp/4pn2/2Pp4/3P4/P1N5/1P2PPPP/R1BQKBNR w KQ - 1 6,middlegame,11,white,0
r2qR1k1/3n2bp/p4np1/2pp4/2B5/1P3N2/PBQ2PPP/5RK1 b - - 0 18,middlegame,36,black,5
r2qr1k1/3n2bp/p4np1/2pp4/2B5/1P3N2/PBQ2PPP/4RRK1 w - - 0 18,middlegame,35,white,0
3q4/6kp/p4bp1/2p5/2Q4P/1P3N2/P4PP1/3rR1K1 w - - 1 27,endgame,53,white,1
3r4/3bk2p/p1pRp1p1/1p1nP3/1P6/P4PP1/2B4P/5RK1 b - - 0 32,endgame,64,black,2
rn3rk1/p2b2bp/2p1p1p1/1p1q1p2/3P4/P2BPN2/1PQB1PPP/R4RK1 w - - 1 14,middlegame,27,white,0
3r1rk1/p2b3p/n1p1p1p1/1pq1P3/4B3/PPB5/2Q2PPP/R4RK1 w - - 5 22,middlegame,43,white,0
