fen,phase,move_number,turn,material_diff
rnbqkb1r/ppp2ppp/8/3p4/4n3/1P5N/PBP1PPPP/RN1QKB1R w KQkq - 0 6,middlegame,11,white,0
rnbqkb1r/pppp1ppp/5n2/8/4p3/1P1P4/PBP1PPPP/RN1QKBNR w KQkq - 1 4,opening,7,white,0
rnbqkbnr/pppp1ppp/8/8/4p3/1P1P4/PBP1PPPP/RN1QKBNR b KQkq - 0 3,opening,6,black,0
r2qkb1r/pp1b1ppp/2n1p3/1B1pPn2/3P1P2/5N2/PP4PP/RNBQK2R w KQkq - 5 9,middlegame,17,white,0
r3kb1r/pp3ppp/1qb1p3/3pPn2/3P1P2/2N2N2/PP4PP/R1BQ1RK1 b kq - 1 11,middlegame,22,black,0
rnbqkb1r/pp2nppp/4p3/3pP3/3P1P2/8/PP4PP/RNBQKBNR b KQkq - 0 6,middlegame,12,black,0
1k5r/p1Nb2pp/P3rn2/3p4/1P1B1P2/8/6PP/R1R3K1 b - - 2 30,middlegame,60,black,1
6r1/p6p/P1b5/3p4/2kB1P2/8/6PP/R5K1 w - - 2 38,endgame,75,white,1
rnb1k1nr/p1ppqppp/1p6/3QN3/1P6/2P5/P4PPP/RNB1KB1R b KQkq - 0 9,middlegame,18,black,2
rnb1kbnr/ppp1pppp/8/4q3/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4,opening,7,white,0
r3kbnr/ppp1pppp/6q1/8/1n1PB3/2N1B3/PPP2PPP/R2QK1NR b KQkq - 4 9,middlegame,18,black,3
3r3r/1k3ppp/2pb4/Pp1p4/3P4/1R2BK2/5PPP/1R6 w - - 0 28,endgame,55,white,-1
r1b4k/pppp2pp/8/4N3/4P3/8/PPn3PP/RN3BK1 b - - 0 15,middlegame,30,black,2
r1b2rk1/pppp1ppp/8/4q3/1nB1P3/5N2/PPP3PP/RN3RK1 w - - 0 12,middlegame,23,white,-7
rnbqk2r/pppp1ppp/5n2/4p1B1/2B1P3/3P4/PPP2KPP/RN1Q2NR b kq - 0 5,middlegame,10,black,2
6k1/q5r1/p2R3Q/8/4P3/8/P5PP/5K2 w - - 5 34,endgame,67,white,3
6r1/3q3k/p2R1Q2/8/4P3/8/P5PP/6K1 b - - 0 31,endgame,62,black,3
3R4/q4kr1/p6Q/8/4P3/8/P5PP/5K2 w - - 7 35,endgame,69,white,3
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,opening,6,black,0
r2qr1k1/pppbbpp1/3p3p/3n4/2BQP2B/8/PPP2PPP/2KRR3 w - - 0 13,middlegame,25,white,-3
r1bqk1nr/ppppbppp/2n5/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,opening,8,black,0
2r1kb1r/p1pnppp1/1p5p/1N1n4/6b1/3P1NB1/PPP1BPPP/R4RK1 b k - 9 12,middlegame,24,black,0
r3kb1r/p1pnppp1/1p3n1p/8/6b1/2NP1N2/PPP1BPPP/R1B2RK1 w kq - 4 10,middlegame,19,white,0
rnb1kbnr/ppp1pppp/4q3/8/8/2N5/PPPPQPPP/R1B1KBNR b KQkq - 3 4,opening,8,black,0
r1bq1rk1/ppp2pbp/1n2pnp1/8/2BPP3/2N1BP2/PP2N1PP/R2Q1RK1 w - - 1 10,middlegame,19,white,0
3rr1k1/5p1p/4nP2/p1p1P3/Pp6/1PnN1Q1P/6P1/2N4K w - - 1 34,middlegame,67,white,0
r4rk1/2qn1pbp/2p1pnp1/p7/Pp1PPB2/1P1N1P2/3QN1PP/R4R1K b - - 2 18,middlegame,36,black,0
rn1k3r/1ppb1ppp/p2p3q/3Pp3/4P1n1/2N2N2/PPP1QPPP/2KR1B1R w - - 2 13,middlegame,25,white,0
r1rR4/3k1p2/p1bp1nN1/1p4Q1/4P1P1/2N5/PPP2PB1/1K1R4 b - - 0 29,middlegame,58,black,14
rnr2q2/4kp2/p1bp1np1/1p2p1Q1/4P1P1/2N5/PPPN1PB1/1K1R3R w - - 2 24,middlegame,47,white,0
r2qk1nr/1b4pp/2nbp3/p2pNp2/1ppP1P2/2P1PQ2/PPBN2PP/R1B2RK1 w kq - 0 12,middlegame,23,white,0
6r1/2k5/2n2R2/p2p4/3P1P2/1pP1PKP1/1P1B4/8 w - - 0 35,endgame,69,white,3
rnbqkbnr/pp3ppp/4p3/3p4/2pP4/2PBP3/PP3PPP/RNBQK1NR w KQkq - 0 5,opening,9,white,0
